,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
214,3708/028_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78937325551394,-122.39966584493492
215,0691/021_2018,301.4089682539681,301.4089682539681,301.4089682539681,0.0,37.787353476832166,-122.4211893683425
216,5598/030_2018,302.89959543971577,303.3085057471263,302.6079389312978,0.33025036408381697,37.74171784331124,-122.40541797810393
217,0240/020_2018,300.886913580247,300.886913580247,300.886913580247,0.0,37.79323419601495,-122.40366734877844
218,1596/042_2018,295.5076699029127,295.5076699029127,295.5076699029127,3.114687274657158e-06,37.774536457754685,-122.50979513959707
219,3785/002A_2018,303.3317820124826,303.47214007782117,303.47214007782117,0.0,37.77529981557294,-122.39805774967265
220,3735/005_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78604250066753,-122.3985561846769
221,3903/002_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76866324895073,-122.4113219220994
222,3709/019_2018,297.19124225062,298.7633948339484,293.15658536585374,2.6430753304769654,37.790539887627965,-122.39757544278312
223,3788/131_2018,300.33751824817534,300.33751824817534,300.33751824817534,4.404832986371046e-06,37.77973434726128,-122.39251099407085
224,3518/045_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.773749282628245,-122.41248232681394
225,3780/078_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.77256170310951,-122.40447402383629
226,0743/203_2018,302.3830830039525,302.3830830039525,302.3830830039525,0.0,37.78211720895784,-122.42130357963958
227,3708/095_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78886472899511,-122.39935935102702
228,3786/104_2018,300.3421212170882,300.33751824817534,300.33751824817534,4.404832986371046e-06,37.77723265071129,-122.395578063022
229,4043/016_2018,299.8885925925928,299.8885925925928,299.8885925925928,0.0,37.76208211581067,-122.3902330386802
230,0141/011_2018,296.73410026844977,297.58708487084857,297.58708487084857,0.0,37.79897262860732,-122.40057949511832
231,0292/004_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78920347755653,-122.40322265856348
232,3932/017_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76688211690469,-122.40713746407526
233,0671/002_2018,301.4089682539681,301.4089682539681,301.4089682539681,0.0,37.78774065234799,-122.42230909487508
234,3722/081_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78546629504633,-122.40045377421389
235,4229/003_2018,300.4886642599278,300.4886642599278,300.4886642599278,4.404832986371046e-06,37.75452556430017,-122.38940748201564
236,0059/003_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.804155679746565,-122.40469571608658
237,0291/012_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78980766741489,-122.40176691341588
238,3774/073_2018,291.9657370517929,291.9657370517929,291.9657370517929,4.404832986371046e-06,37.78262747908506,-122.39176553798283
239,0811/022_2018,301.88266666666686,301.88266666666686,301.88266666666686,0.0,37.777669920518925,-122.418871713921
240,3912/002_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.76897271678559,-122.40247802273498
241,3754/058_2018,303.47214007782117,303.47214007782117,303.47214007782117,0.0,37.77773527966113,-122.40589987755762
